Day,Time,Duration,Activity,Details,Type,PIC,XP,Ready?
4,09:30am - 10:30am,1 hour,Tools Overview,"Quick tour of Salesforce, Chargebee, Intercom, Aircall, Talkhub - where to find things (not deep dive - that's Week 2)",Trainer-Led,Trainer,50,
4,10:30am - 11:30am,1 hour,Hands-On: Find the Merchant,"Given 3 real merchant emails, find them in Salesforce + Chargebee. Document: account status, subscription plan, hardware ordered, assigned MOM. Use provided worksheet.",Hands-On Exercise,Player,100,
4,11:30am - 12:00pm,30 min,Tools Checkpoint,"Player explains findings from exercise. Coach validates understanding of where to find key info.",Coach Check,Coach,75,
4,12:00pm - 1:00pm,1 hour,Lunch Break,,Break,,0,
4,1:00pm - 2:00pm,1 hour,Welcome Call Script Study,"Read Welcome Call script. Annotate: key questions to ask, data points to collect, common merchant concerns. Note questions for walkthrough.",Self-Study,Player,50,
4,2:00pm - 3:00pm,1 hour,Real Recording Analysis,"Listen to 2 actual Welcome Call recordings. Complete analysis worksheet: What went well? What could improve? How did MOM handle objections?",Hands-On Exercise,Player,100,
4,3:00pm - 3:30pm,30 min,Welcome Call Walkthrough,"Script highlights, critical moments, common mistakes to avoid. Q&A on recordings analyzed.",Trainer-Led,Trainer,50,
4,3:30pm - 5:00pm,1.5 hours,Welcome Call Practice #1,"Self-record Welcome Call using real merchant scenario (provided). Upload to Lark for coach review. Focus on: intro, key questions, setting expectations.",Self-Record,Player,75,
4,5:00pm - 6:00pm,1 hour,Self-Review + Reflection,"Watch your own recording. Note 3 improvement areas. Prepare for Practice #2 tomorrow. Complete Day 4 reflection form.",Self-Study,Player,25,
,,,,,,,,
5,09:30am - 10:30am,1 hour,Welcome Call Practice #2,"Self-record second attempt using DIFFERENT merchant scenario. Apply improvements from Day 4 self-review. Upload to Lark.",Self-Record,Player,75,
5,10:30am - 11:00am,30 min,Self-Review,"Compare Practice #1 and #2 recordings. Document improvements made and remaining gaps.",Self-Study,Player,25,
5,11:00am - 12:00pm,1 hour,Welcome Call Assessment (Graded),"Coach reviews both video submissions + brief live Q&A. Scorecard covers: intro, questions asked, tone, objection handling, closing. 80% pass required.",Assessment,Coach,200,
5,12:00pm - 1:00pm,1 hour,Lunch Break,,Break,,0,
5,1:00pm - 2:00pm,1 hour,Go Live Script Study,"Read Go Live script. Understand common Day 1 issues: printer not printing, network issues, staff confusion. Note how hardware troubleshooting (Day 3) applies.",Self-Study,Player,50,
5,2:00pm - 3:00pm,1 hour,Real Go Live Recording Analysis,"Listen to 2 actual Go Live calls. Complete worksheet: How did MOM handle stress? What troubleshooting steps? How did they calm the merchant?",Hands-On Exercise,Player,100,
5,3:00pm - 3:30pm,30 min,Go Live Walkthrough,"Key moments in Go Live call. Handling stressed merchants. Quick hardware recap (from Day 3). Common scenarios and solutions.",Trainer-Led,Trainer,50,
5,3:30pm - 5:00pm,1.5 hours,Go Live Practice #1,"Self-record Go Live with 2 issues (e.g., printer not printing + network slow). Use real merchant scenario. Upload to Lark.",Self-Record,Player,75,
5,5:00pm - 6:00pm,1 hour,Self-Review + Reflection,"Watch recording. Note improvement areas. What would you do differently? Complete Day 5 reflection form.",Self-Study,Player,25,
,,,,,,,,
6,09:30am - 10:30am,1 hour,Go Live Practice #2,"Self-record second attempt with DIFFERENT merchant scenario and different issues (e.g., order stuck + staff needs help). Apply improvements.",Self-Record,Player,75,
6,10:30am - 11:00am,30 min,Self-Review,"Compare Practice #1 and #2. Document improvements and remaining gaps before assessment.",Self-Study,Player,25,
6,11:00am - 12:00pm,1 hour,Go Live Assessment (Graded),"Coach reviews both video submissions + brief live Q&A. Scorecard covers: problem identification, troubleshooting steps, merchant reassurance, resolution. 80% pass required.",Assessment,Coach,200,
6,12:00pm - 1:00pm,1 hour,Lunch Break,,Break,,0,
6,1:00pm - 2:00pm,1 hour,Training Slides Overview,"Quick review of F&B + Retail training decks. Understand structure (not memorization). Note key demo points for each section.",Self-Study,Player,50,
6,2:00pm - 3:00pm,1 hour,Training Demo Practice,"Self-record 10-min demo of key slides (menu management + order flow). Upload to Lark. Focus on clarity and merchant perspective.",Self-Record,Player,75,
6,3:00pm - 3:30pm,30 min,Training Demo Assessment (Graded),"Coach reviews video + brief Q&A. Scorecard covers: clarity, demo flow, handling questions. 80% pass required.",Assessment,Coach,200,
6,3:30pm - 4:00pm,30 min,Feature Upselling Context,"Review top 3 features to upsell: QR Order & Pay, Beep Delivery, Engage. Understand value proposition for each.",Self-Study,Player,50,
6,4:00pm - 5:00pm,1 hour,Week 1 Wrap-Up,"Recap all learnings. Open Q&A. Address concerns. Set expectations for Week 2.",Trainer-Led,Trainer,50,
6,5:00pm - 5:30pm,30 min,KPIs Introduction,"Brief on targets: 35 merchants/month, 85% completed in <15 days, 95% SLA compliance, 90% CSAT. What success looks like.",Trainer-Led,Trainer,50,
6,5:30pm - 6:00pm,30 min,Handover to TL,"TL introduces Week 2 plan: Tools deep dive, shadowing, buddying. Sets expectations for practical training.",Handover,TL,100,
